Java HotSpot(TM) 64-Bit Server VM (25.191-b12) for windows-amd64 JRE (1.8.0_191-b12), built on Oct  6 2018 09:29:03 by "java_re" with MS VC++ 10.0 (VS2010)
409.853: [GC (Allocation Failure) [PSYoungGen: 4640K->2656K(5632K)] 748057K->748129K(936960K), 0.0156129 secs] [Times: user=0.06 sys=0.00, real=0.02 secs] 
410.871: [GC (Allocation Failure) [PSYoungGen: 5216K->2624K(99328K)] 750689K->750673K(1030656K), 0.0171221 secs] [Times: user=0.06 sys=0.00, real=0.02 secs] 
412.892: [GC (Allocation Failure) [PSYoungGen: 5696K->3104K(6656K)] 753745K->753729K(937984K), 0.0186017 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
414.914: [GC (Allocation Failure) [PSYoungGen: 6176K->3136K(89600K)] 756801K->756849K(1020928K), 0.0208816 secs] [Times: user=0.06 sys=0.00, real=0.02 secs] 
416.939: [GC (Allocation Failure) [PSYoungGen: 7232K->4128K(8704K)] 760945K->760929K(940032K), 0.0227638 secs] [Times: user=0.06 sys=0.00, real=0.02 secs] 
418.966: [GC (Allocation Failure) [PSYoungGen: 8224K->4160K(80384K)] 765025K->765081K(1011712K), 0.0262411 secs] [Times: user=0.13 sys=0.00, real=0.03 secs] 
420.998: [GC (Allocation Failure) [PSYoungGen: 9280K->5184K(10752K)] 770201K->770217K(942080K), 0.0291255 secs] [Times: user=0.13 sys=0.00, real=0.03 secs] 
424.032: [GC (Allocation Failure) [PSYoungGen: 10304K->5184K(70656K)] 775337K->775361K(1001984K), 0.0317117 secs] [Times: user=0.13 sys=0.00, real=0.03 secs] 
427.068: [GC (Allocation Failure) [PSYoungGen: 10816K->10816K(16896K)] 780993K->780993K(948224K), 0.0338444 secs] [Times: user=0.13 sys=0.00, real=0.03 secs] 
430.108: [GC (Allocation Failure) [PSYoungGen: 16448K->16448K(63488K)] 786625K->786625K(994816K), 0.0504853 secs] [Times: user=0.19 sys=0.02, real=0.05 secs] 
433.162: [GC (Allocation Failure) [PSYoungGen: 23104K->23072K(67584K)] 793281K->793249K(998912K), 0.0691448 secs] [Times: user=0.25 sys=0.00, real=0.07 secs] 
436.236: [GC (Allocation Failure) [PSYoungGen: 29728K->29728K(67072K)] 799905K->799905K(998400K), 0.0887769 secs] [Times: user=0.38 sys=0.00, real=0.09 secs] 
440.330: [GC (Allocation Failure) [PSYoungGen: 36384K->36384K(68096K)] 806561K->806561K(999424K), 0.1086320 secs] [Times: user=0.34 sys=0.00, real=0.11 secs] 
443.443: [GC (Allocation Failure) [PSYoungGen: 43040K->43008K(67072K)] 813217K->813185K(998400K), 0.1276349 secs] [Times: user=0.50 sys=0.00, real=0.13 secs] 
445.574: [GC (Allocation Failure) [PSYoungGen: 45568K->45600K(72192K)] 815745K->815777K(1003520K), 0.1346998 secs] [Times: user=0.56 sys=0.00, real=0.13 secs] 
446.710: [GC (Allocation Failure) [PSYoungGen: 48160K->43040K(75264K)] 818337K->818361K(1006592K), 0.1412053 secs] [Times: user=0.56 sys=0.00, real=0.14 secs] 
446.852: [GC (Allocation Failure) [PSYoungGen: 44064K->32800K(34304K)] 819385K->819417K(965632K), 0.1279610 secs] [Times: user=0.48 sys=0.02, real=0.13 secs] 
447.982: [GC (Allocation Failure) [PSYoungGen: 33824K->20512K(67584K)] 820441K->820489K(998912K), 0.0963250 secs] [Times: user=0.31 sys=0.00, real=0.10 secs] 
